species	ncbi_query	taxid	ncbi_scientific_name	tax_family	tax_order	tax_class	tax_phylum	tax_kingdom	tax_superkingdom
Agriopis_aurantiaria	Agriopis aurantiaria	104476	Agriopis aurantiaria	Geometridae	Lepidoptera	Insecta	Arthropoda	Metazoa	
Agriopis_marginaria	Agriopis marginaria	190331	Agriopis marginaria	Geometridae	Lepidoptera	Insecta	Arthropoda	Metazoa	
Amphipyra_tragopoginis	Amphipyra tragopoginis	689058	Amphipyra tragopoginis	Noctuidae	Lepidoptera	Insecta	Arthropoda	Metazoa	
Anthocharis_cardamines	Anthocharis cardamines	227532	Anthocharis cardamines	Pieridae	Lepidoptera	Insecta	Arthropoda	Metazoa	
Apamea_monoglypha	Apamea monoglypha	875885	Apamea monoglypha	Noctuidae	Lepidoptera	Insecta	Arthropoda	Metazoa	
Aricia_agestis	Aricia agestis	91739	Aricia agestis	Lycaenidae	Lepidoptera	Insecta	Arthropoda	Metazoa	
Autographa_gamma	Autographa gamma	254363	Autographa gamma	Noctuidae	Lepidoptera	Insecta	Arthropoda	Metazoa	
Bombus_terrestris	Bombus terrestris	30195	Bombus terrestris	Apidae	Hymenoptera	Insecta	Arthropoda	Metazoa	
Celastrina_argiolus	Celastrina argiolus	203782	Celastrina argiolus	Lycaenidae	Lepidoptera	Insecta	Arthropoda	Metazoa	
Colias_croceus	Colias croceus	72248	Colias croceus	Pieridae	Lepidoptera	Insecta	Arthropoda	Metazoa	
Cosmia_trapezina	Cosmia trapezina	116126	Cosmia trapezina	Noctuidae	Lepidoptera	Insecta	Arthropoda	Metazoa	
Drosophila_melanogaster	Drosophila melanogaster	7227	Drosophila melanogaster	Drosophilidae	Diptera	Insecta	Arthropoda	Metazoa	
Erannis_defoliaria	Erannis defoliaria	104474	Erannis defoliaria	Geometridae	Lepidoptera	Insecta	Arthropoda	Metazoa	
Erebia_aethiops	Erebia aethiops	447833	Erebia aethiops	Nymphalidae	Lepidoptera	Insecta	Arthropoda	Metazoa	
Euclidia_mi	Euclidia mi	938167	Euclidia mi	Erebidae	Lepidoptera	Insecta	Arthropoda	Metazoa	
Lasiommata_megera	Lasiommata megera	111917	Lasiommata megera	Nymphalidae	Lepidoptera	Insecta	Arthropoda	Metazoa	
Luperina_testacea	Luperina testacea	988174	Luperina testacea	Noctuidae	Lepidoptera	Insecta	Arthropoda	Metazoa	
Lycaena_phlaeas	Lycaena phlaeas	282391	Lycaena phlaeas	Lycaenidae	Lepidoptera	Insecta	Arthropoda	Metazoa	
Mamestra_brassicae	Mamestra brassicae	55057	Mamestra brassicae	Noctuidae	Lepidoptera	Insecta	Arthropoda	Metazoa	
Manduca_sexta	Manduca sexta	7130	Manduca sexta	Sphingidae	Lepidoptera	Insecta	Arthropoda	Metazoa	
Maniola_jurtina	Maniola jurtina	191418	Maniola jurtina	Nymphalidae	Lepidoptera	Insecta	Arthropoda	Metazoa	
Melanargia_galathea	Melanargia galathea	111923	Melanargia galathea	Nymphalidae	Lepidoptera	Insecta	Arthropoda	Metazoa	
Mythimna_albipuncta	Mythimna albipuncta	987983	Mythimna albipuncta	Noctuidae	Lepidoptera	Insecta	Arthropoda	Metazoa	
Mythimna_ferrago	Mythimna ferrago	997540	Mythimna ferrago	Noctuidae	Lepidoptera	Insecta	Arthropoda	Metazoa	
Mythimna_impura	Mythimna impura	987985	Mythimna impura	Noctuidae	Lepidoptera	Insecta	Arthropoda	Metazoa	
Noctua_pronuba	Noctua pronuba	214277	Noctua pronuba	Noctuidae	Lepidoptera	Insecta	Arthropoda	Metazoa	
Nymphalis_urticae	Nymphalis urticae	111881	Nymphalis urticae	Nymphalidae	Lepidoptera	Insecta	Arthropoda	Metazoa	
Ochlodes_sylvanus	Ochlodes sylvanus	3126489	Ochlodes sylvanus	Hesperiidae	Lepidoptera	Insecta	Arthropoda	Metazoa	
Ochropleura_plecta	Ochropleura plecta	320037	Ochropleura plecta	Noctuidae	Lepidoptera	Insecta	Arthropoda	Metazoa	
Operophtera_brumata	Operophtera brumata	104452	Operophtera brumata	Geometridae	Lepidoptera	Insecta	Arthropoda	Metazoa	
Pararge_aegeria	Pararge aegeria	116150	Pararge aegeria	Nymphalidae	Lepidoptera	Insecta	Arthropoda	Metazoa	
Phlogophora_meticulosa	Phlogophora meticulosa	875884	Phlogophora meticulosa	Noctuidae	Lepidoptera	Insecta	Arthropoda	Metazoa	
