species	protein	family	evidence	orthogroup
Agriopis_aurantiaria	Agriopis_aurantiaria_10013	CYP	Pfam:PF00067:12-411:cov=0.917	OG0002395
Agriopis_aurantiaria	Agriopis_aurantiaria_10134	CCE	Pfam:PF00135:3-513:cov=0.964	OG0000129
Agriopis_aurantiaria	Agriopis_aurantiaria_10152	UGT	Pfam:PF00201:3-132:cov=0.807	OG0000005
Agriopis_aurantiaria	Agriopis_aurantiaria_10158	Nuclear_receptor_LBD	Pfam:PF00104:165-347:cov=0.503	OG0006579
Agriopis_aurantiaria	Agriopis_aurantiaria_10163	UGT	Pfam:PF00201:29-485:cov=0.889	OG0000005
Agriopis_aurantiaria	Agriopis_aurantiaria_10164	CCE	Pfam:PF00135:21-528:cov=0.894	OG0000020
Agriopis_aurantiaria	Agriopis_aurantiaria_1017	CCE	Pfam:PF00135:24-532:cov=0.915	OG0000020
Agriopis_aurantiaria	Agriopis_aurantiaria_10182	Nuclear_receptor_LBD	Pfam:PF00104:260-423:cov=0.360	OG0000684
Agriopis_aurantiaria	Agriopis_aurantiaria_102	CYP	Pfam:PF00067:49-544:cov=0.881	OG0002363
Agriopis_aurantiaria	Agriopis_aurantiaria_10417	CYP	Pfam:PF00067:38-495:cov=0.905	OG0003610
Agriopis_aurantiaria	Agriopis_aurantiaria_10420	SULT	Pfam:PF00685:37-309:cov=0.803	OG0001231
Agriopis_aurantiaria	Agriopis_aurantiaria_10426	SULT	Pfam:PF00685:19-162:cov=0.770	OG0001231
Agriopis_aurantiaria	Agriopis_aurantiaria_10429	CYP	Pfam:PF00067:49-496:cov=0.872	OG0000057
Agriopis_aurantiaria	Agriopis_aurantiaria_10435	SULT	Pfam:PF00685:106-387:cov=0.681	OG0001231
Agriopis_aurantiaria	Agriopis_aurantiaria_10439	SULT	Pfam:PF00685:28-301:cov=0.806	OG0001231
Agriopis_aurantiaria	Agriopis_aurantiaria_10443	SULT	Pfam:PF00685:114-385:cov=0.663	OG0001231
Agriopis_aurantiaria	Agriopis_aurantiaria_10444	SULT	Pfam:PF00685:97-376:cov=0.695	OG0001231
Agriopis_aurantiaria	Agriopis_aurantiaria_10455	CYP	Pfam:PF00067:38-379:cov=0.895	OG0000057
Agriopis_aurantiaria	Agriopis_aurantiaria_10458	SULT	Pfam:PF00685:19-152:cov=0.691	OG0001231
Agriopis_aurantiaria	Agriopis_aurantiaria_10494	UGT	Pfam:PF00201:110-509:cov=0.769	OG0000238
Agriopis_aurantiaria	Agriopis_aurantiaria_10548	UGT	Pfam:PF00201:113-459:cov=0.740	OG0000238
Agriopis_aurantiaria	Agriopis_aurantiaria_10643	ABC_NBD	Pfam:PF00005:44-187:cov=0.520	OG0002396
Agriopis_aurantiaria	Agriopis_aurantiaria_1073	CCE	Pfam:PF00135:1-65:cov=0.855	
Agriopis_aurantiaria	Agriopis_aurantiaria_1084	CCE	Pfam:PF00135:20-527:cov=0.922	OG0000020
Agriopis_aurantiaria	Agriopis_aurantiaria_10863	EH	Pfam:PF00561:63-207:cov=0.379	OG0004413
Agriopis_aurantiaria	Agriopis_aurantiaria_10869	CYP	Pfam:PF00067:8-456:cov=0.968	OG0005390
Agriopis_aurantiaria	Agriopis_aurantiaria_10887	FMO	Pfam:PF00743:25-235:cov=0.472	OG0006768
Agriopis_aurantiaria	Agriopis_aurantiaria_10990	ABC_TMD	Pfam:PF00664:46-284:cov=0.401	OG0002339
Agriopis_aurantiaria	Agriopis_aurantiaria_11078	CYP	Pfam:PF00067:34-464:cov=0.885	OG0007322
Agriopis_aurantiaria	Agriopis_aurantiaria_11082	CYP	Pfam:PF00067:33-482:cov=0.915	OG0006770
Agriopis_aurantiaria	Agriopis_aurantiaria_11101	CYP	Pfam:PF00067:75-537:cov=0.854	OG0008247
Agriopis_aurantiaria	Agriopis_aurantiaria_11105	CYP	Pfam:PF00067:8-354:cov=0.918	OG0006950
Agriopis_aurantiaria	Agriopis_aurantiaria_11143	CYP	Pfam:PF00067:32-485:cov=0.887	OG0000045
Agriopis_aurantiaria	Agriopis_aurantiaria_11161	UGT	Pfam:PF00201:70-451:cov=0.827	OG0000005
Agriopis_aurantiaria	Agriopis_aurantiaria_11162	UGT	Pfam:PF00201:1-311:cov=0.945	OG0000005
Agriopis_aurantiaria	Agriopis_aurantiaria_11174	UGT	Pfam:PF00201:28-506:cov=0.925	OG0000005
Agriopis_aurantiaria	Agriopis_aurantiaria_11175	UGT	Pfam:PF00201:29-507:cov=0.921	OG0000005
Agriopis_aurantiaria	Agriopis_aurantiaria_11182	UGT	Pfam:PF00201:28-495:cov=0.902	OG0000005
Agriopis_aurantiaria	Agriopis_aurantiaria_11240	CCE	Pfam:PF00135:3-523:cov=0.976	OG0000244
Agriopis_aurantiaria	Agriopis_aurantiaria_1145	CCE	Pfam:PF00135:29-535:cov=0.905	OG0000020
Agriopis_aurantiaria	Agriopis_aurantiaria_11621	UGT	Pfam:PF00201:68-503:cov=0.813	OG0003400
Agriopis_aurantiaria	Agriopis_aurantiaria_11685	CYP	Pfam:PF00067:9-394:cov=0.917	OG0002920
Agriopis_aurantiaria	Agriopis_aurantiaria_11782	CYP	Pfam:PF00067:32-487:cov=0.892	OG0000057
Agriopis_aurantiaria	Agriopis_aurantiaria_11899	CCE	Pfam:PF00135:34-536:cov=0.760	OG0007335
Agriopis_aurantiaria	Agriopis_aurantiaria_11940	GST_C	Pfam:PF00043:114-199:cov=0.377	OG0002343
Agriopis_aurantiaria	Agriopis_aurantiaria_12214	CYP	Pfam:PF00067:62-513:cov=0.873	OG0003403
Agriopis_aurantiaria	Agriopis_aurantiaria_12435	Thioredoxin	Pfam:PF00085:57-145:cov=0.362	OG0006415
Agriopis_aurantiaria	Agriopis_aurantiaria_12521	Catalase	Pfam:PF00199:44-424:cov=0.753	OG0000338
